"","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets"
"1",1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+08,1e+06,1e+06,1e+07,1e+07,1e+08,1e+08,1e+09,1e+09,1e+10,1e+10
"2",103105875.760164,103113323.529623,104289915.439002,104505517.192028,104296982.368717,104401811.266645,102980256.697817,102983737.438343,100693431.499702,100903924.275938,102547321.536,103184417.733718,104419872.132759,104432767.702127,104336971.729076,104347322.093278,103494978.623356,103503253.849211,104872407.772701,105005111.631752,101628095.813002,101666113.369383,102180768.913269,102186736.41609,103962265.403977,104187654.714212,105235745.843885,105250462.693783,103084353.836791,103089871.47003,101224569.333246,101258371.695767,102041429.536218,102122955.65976,102206009.402741,102247137.300507,102684018.273045,103298868.983222,1026243.09677977,1031117.542247,10306389.6417896,10311319.102101,103105875.760164,103113323.529623,1030888603.45334,1031133372.56683,10287631340.1246,10311333863.5501
"3",103978004.955279,103990419.419923,103095556.00271,103400173.686802,103849609.134058,103992332.861266,103856062.121757,103860759.91139,100510588.365569,100728433.283377,103798771.937452,104639058.456102,106431856.797922,106446038.411107,105980510.766252,105992767.323263,104768850.420249,104778461.678228,108326556.141113,108582497.96081,101177021.040027,101249629.450117,103328373.575557,103337262.494452,104695369.784513,104922046.671906,107353481.514836,107369695.131748,104006274.241787,104013722.257903,102962723.609676,103000407.806694,102449884.358745,102537680.880992,103660573.442798,103702922.800762,100802374.711771,101925012.146534,1031062.55843107,1039887.32825257,10389453.5989281,10399024.8821755,103978004.955279,103990419.419923,1039646607.41923,1039904364.29217,10374539366.6179,10399043798.8781
"4",104581464.271991,104598924.795946,103890760.744828,104303851.161367,103644257.756768,103848173.978482,104602402.653485,104608341.363467,101165667.505951,101386110.233882,103009922.257667,104034213.042923,107439337.615068,107456004.058781,106850421.149725,106863979.791459,106362897.364458,106375949.525673,109930568.999289,110344052.883267,100785681.763436,100893041.992727,103758187.817974,103773927.598909,105158479.363206,105387398.696329,108701640.886385,108720651.644749,104716332.661742,104726122.55423,103461486.098856,103500553.144703,104186933.942732,104277336.964148,102620967.939695,102664124.617762,100584687.526092,102161523.705647,1033968.29081818,1045970.53588678,10445426.8923503,10459873.0603226,104581464.271991,104598924.795946,1045714263.46957,1045989424.19354,10434159472.5021,10459894409.3547
"5",106540319.955212,106562914.69095,104503489.962374,105036959.414641,104919598.484806,105174898.250488,107021946.121041,107029218.946928,100768974.061206,100989882.506155,101564883.532751,102756318.289,111296763.716925,111315232.675934,110587027.235939,110602312.92277,109802523.712586,109817227.286578,114609897.419643,115151082.062089,102353266.375244,102507742.933657,106194999.752191,106214844.98896,104364269.33565,104592765.795814,112891715.277162,112912620.070743,107300453.923848,107313380.228665,101754970.580513,101794709.069793,103556081.188067,103647260.640058,101509969.857137,101553974.460666,97555292.2781777,99700842.859616,1050879.15451079,1065611.73976065,10636775.2209573,10656273.9365607,106540319.955212,106562914.69095,1065343035.28953,1065629306.64928,10629972921.9073,10656293208.5497
"6",104382782.805498,104409915.926468,99017320.9433883,99565564.0264588,98858426.4287453,99110262.3745487,105409231.214716,105417635.007851,96801090.4050293,97014577.0013711,98628999.9512722,99951911.5353552,110917679.575681,110939154.22098,109817857.047159,109834280.196051,108383719.374436,108399474.06305,113198804.316863,113859624.389441,100778519.280313,100986169.400922,104568380.266123,104593000.801167,101477807.214003,101751227.280737,111814460.388182,111836676.282064,105370872.932014,105385982.086682,97507588.1030779,97547607.6392302,99866279.8980123,99957756.4981466,98280915.3490406,98330240.7216837,92919055.0848956,95256675.8012162,1026736.12427701,1044098.45925426,10417310.228885,10440989.8751691,104382782.805498,104409915.926468,1043811674.61495,1044099164.17688,10415002066.768,10440991639.6389
"7",104233989.647056,104265994.638228,94016008.3685134,94703238.7311511,92905502.9146481,93285897.7150862,106078597.029175,106098577.438844,95368130.0092062,95805839.4810216,96965970.7293255,98451069.5138962,112327687.972142,112444574.438072,111292046.088276,111385714.788085,108347719.597695,108801504.786634,114559579.253094,115335184.827052,100866700.064946,101110910.745501,105613807.829072,105641415.674855,96865760.8783924,98972087.6286983,113086569.46428,113152918.041822,105779198.816827,105797504.738098,95032090.2257712,95624039.9191951,96305855.8291027,96858648.8163126,95761508.3106889,96808907.427207,88754795.8382148,91325663.921458,1021637.80200988,1042669.67550877,10398629.9497633,10426607.9379973,104233989.647056,104265994.638228,1042356194.72416,1042659852.69338,10399486533.4576,10426598417.5941
"8",108164409.049933,108202390.911544,96870210.8347249,97781734.6713814,94580058.2192258,94997878.9696412,110337231.621172,110358918.183439,102405900.093871,102861358.250486,98796857.4615879,100463936.452202,114026349.929577,114146445.633723,113455650.784518,113551293.486126,111262220.48767,111719753.959858,114180797.497884,115117685.230191,105999293.941437,106274045.245079,109586615.239227,109617909.741949,98032708.9084249,100164587.645747,113876675.687822,113944960.522489,109781596.969589,109803620.366981,100597208.947746,101200578.61428,101221026.540752,101780173.683328,101948846.895245,103001761.976476,96055486.9522451,99093964.3177467,1057517.2489905,1082017.91589664,10786498.5225385,10820232.7501903,108164409.049933,108202390.911544,1081697043.50131,1082023961.27041,10791413174.563,10820239666.3666
"9",107486172.876532,107528857.288172,92941585.7152661,93953092.1103242,90526660.8982663,90951322.1068406,110192393.01963,110215265.962454,102438497.600838,102895325.211694,95887023.689206,97763620.2423894,113602712.535393,113725425.986728,112939400.28437,113035828.317392,110736065.360263,111192747.965339,114024947.946168,115034856.893371,106322561.436555,106626349.451753,110097407.333031,110131593.770609,94806888.1555412,96887749.5661305,113757884.629086,113827900.30104,109559048.24564,109584048.626165,96940811.3602679,97527407.7727969,98324787.9855961,98877613.280543,98458409.1381816,99477999.2741603,93672672.3489741,96994154.2224848,1048222.56326966,1075293.22081418,10714638.9574743,10752889.9813133,107486172.876532,107528857.288172,1074954188.42766,1075288510.24689,10723787188.638,10752885045.4454
"10",108576440.489641,108624385.582306,92664577.9742342,93749603.3633867,88326125.4591442,88750559.879993,111681812.074483,111706188.794864,103926975.266185,104393352.713824,95786345.1817649,97887297.7863015,114014580.262456,114138939.706567,113219915.155268,113317791.785568,112007991.32566,112471121.523933,114686759.614585,115748385.225442,109802294.667384,110145329.409725,111367822.738931,111404348.807623,94056373.0058905,96122181.7744018,114501722.333808,114573395.840675,111062231.57397,111090740.703719,97426147.8930121,98022477.0683419,98753745.0902647,99320017.5949707,98486162.9203052,99507273.8177783,92999498.4349754,96846745.0480115,1056245.89417366,1086247.88350872,10819124.189329,10862442.4095115,108576440.489641,108624385.582306,1085898953.61857,1086243801.83956,10832811760.0607,10862437971.3859
